"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,344688512189638;0;0;0;0;0;0;0;0;0,0102915562063769;0;0,053016087430844;0;0;0;0;0;0;0;0;0;0,0364882443957159;0;0;0;0;0;0;0;0;0,0176827645194042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0262434679398794;0;0;0;0;0,0187397852471899;0;0;0;0;0;0,166612867242767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,105967909875988;0;0;0;0;0;0,0364882443957159;0;0,0747510485713844;0,0476798132486562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0181678226947029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0431818760417369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0,309509644169518;0;0;0;0;0;0;0;0;0;0;0,0531203819653331;0;0;0;0;0;0;0;0;0;0;0;0;0,0123587108659218;0;0;0;0;0;0,0260259910344759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,018776650607753;0;0;0;0;0;0,107741514731086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,136143235980892;0;0;0;0;0;0,117286589083997;0;0,0748981006491806;0,0477736101350029;0;0,0348951834233997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0182035628766448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0432668244767948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0,0633298736010868;0;0;0;0;0;0;0;0;0,0108988415150673;0,0633495173159401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,113951717169911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,351364651919219;0;0;0;0,0521201630279984;0;0;0;0;0;0;0;0,0120854089727256;0;0;0;0;0,120952410580086;0;0;0,0515724291239738;0;0;0;0;0;0,0408028718866218;0;0;0;0;0,0175787767813366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0740126926970491;0,0175787767813366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0104018686276469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0262072459168532;0;0,0562179162809062;0;0;0;0;0;0;0,0224633536915209;0;0;0;0;0;0,037025851494704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0198755961460235;0;0;0;0;0,0442957536576816;0;0;0;0;0;0,0423626623058419;0;0,0261968964370724;0;0,236423717388754;0;0;0;0;0;0;0,0106968145433161;0,0141657290688001;0;0,0225905264658295;0;0;0,127271918849155;0;0;0,0310481734921733;0;0;0;0;0,02741259173548;0,027494924970658;0;0,0117108341727207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,188402086123396;0,0281374072591128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X7";0;0;0;0;0,465904673061117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0136551854436322;0;0;0,0423310752670485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109582862659795;0;0,0107534587283026;0;0;0;0;0;0;0;0;0;0,0143379447336224;0;0;0;0;0,0938213793436881;0;0;0;0;0;0;0;0,0232479534858029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0539721208230182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,271017922847788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,480411795868487;0;0;0;0;0;0;0;0;0,0374152229628688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0112779357849763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0328268485185686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,169018957173818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,269049239691281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,563071747662662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0313239332236954;0;0;0;0;0;0,0378397815907055;0;0;0;0;0;0;0,0107561717842066;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0158609861060367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0306169164044437;0;0;0;0;0;0;0;0;0;0;0;0;0,183922564446228;0;0;0,014871610577967;0;0;0,030966687391209;0;0;0;0;0;0;0;0,0180289637524322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,020770169462362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0419704675980523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0;0;0;0;0,019088405473219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0259610499868417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013391101128707;0;0;0;0;0;0,0666616657683512;0;0;0,0155808411075357;0;0;0,118354765249924;0;0;0;0,176027847862085;0;0;0;0;0;0;0;0;0,0188233404530444;0,0272154081389115;0;0;0,195878030583724;0;0;0,161742171108785;0;0;0;0;0,0321545676614836;0;0;0,0494537172616749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0796670882157131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,257745111727788;0;0;0;0;0;0;0;0;0;0;0,27272305371737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0150342452676011;0;0;0;0;0;0;0;0,024463153392487;0;0;0;0;0;0,0697805158541162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,147097023116879;0;0;0,0159568659278298;0;0;0,0247047343671442;0;0,0125856299472042;0;0;0;0;0;0,0658090441472126;0;0,0155008914747733;0;0;0;0;0,0161090233400644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0624907077195296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0,0344314441673023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0137112271818551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0836410314028285;0;0;0,136876389929939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1820057826889;0;0,0497533171674846;0;0;0;0,057778045798099;0;0,0497855591878804;0,0258138123542613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0141291725771898;0;0;0;0;0;0;0;0;0;0;0;0;0,274048403053039;0,0285293007670219;0;0;0;0;0;0;0;0;0;0,0494965137241991;0;0;0;0
"X14";0;0;0;0;0;0;0;0;0;0;0;0;0;0,011034520392656;0;0;0;0;0;0;0;0;0;0;0;0,0285599348039677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0759579219130624;0;0;0;0;0,56025821444608;0;0;0;0;0;0,0546184574106417;0;0,0181230910217331;0;0;0;0;0;0;0;0;0;0,0205652094835686;0;0;0;0;0,110868641011932;0;0;0;0;0;0;0;0,0148560605005592;0;0;0,0227953261221556;0;0;0,02956248900513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0528001338885136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X16";0,0340147657505981;0;0;0;0;0;0;0;0;0;0;0;0,0157575757325708;0;0,0412121211207096;0;0;0;0,014545454652443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0135452982592852;0;0;0;0;0;0;0;0;0,109090909047868;0,0230303028897014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0303030303850138;0;0;0;0;0;0,148083379597907;0;0;0,135219955272041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0133333332341333;0;0,0491830701410562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109090910738777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139581858120052;0;0;0;0;0;0;0;0;0;0;0;0;0,270731956199122;0,0281840482177673;0;0;0;0;0;0;0;0;0;0,0488975226139;0;0;0;0
"X17";0,0342673241020762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0152264939517585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,014845831747759;0;0;0,0136458715874606;0;0;0;0;0;0;0;0;0,129425199782372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0832423501432591;0;0;0,136223958334736;0;0;0;0;0;0;0;0;0,0171298059938345;0;0;0;0;0;0;0;0;0;0;0;0,102017510532929;0;0,0495482525799573;0;0;0,0285496765428265;0;0;0;0;0;0,0114198705489921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,014061824814671;0;0;0;0;0;0;0;0;0;0;0;0;0,272742130752474;0,0283933137117016;0;0;0;0;0;0;0;0;0;0,0492605848731927;0;0;0;0
"X19";0;0;0;0;0,0130962191950849;0;0;0;0;0;0;0;0,0343338165266415;0;0;0,145125076173401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0522810384885337;0;0;0;0,0582173337136953;0;0;0;0;0;0;0;0;0,0468188404123937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,264975114508876;0;0;0;0,0593421338828623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0343338165266415;0,1242809692326;0;0;0,0140456522918827;0;0;0,0235093412253236;0;0;0;0;0;0;0;0,0117047100190161;0;0;0;0;0;0;0;0;0;0;0;0;0,0128751811554494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,105060756647598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0337092920035894;0,0272262739713689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0397783332009936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,154880530752251;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0638187192070636;0;0;0;0;0,0601294183529489;0;0,0355314159519642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,021865486686268;0;0;0;0;0;0;0,0107536282106985;0;0;0;0,0583079646124196;0;0,127025169900177;0,0162596152813552;0;0;0;0;0,0881296341372071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0309761060810272;0,0836460662756455;0,0155242528436253;0;0;0;0;0;0;0;0;0;0;0;0,0626374442475924;0;0;0;0;0;0;0,0698006482838049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X21";0;0;0;0;0,0685278320604316;0;0;0;0;0;0;0;0;0,014224686461503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0157136256323963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,159035818508494;0;0;0;0;0,0158962440799877;0;0;0;0;0;0,014330850691896;0;0;0;0;0;0;0;0;0;0;0,036297613633727;0,0168817229082991;0;0;0;0;0,0970600496507061;0;0,12102405657549;0,0742232825705389;0;0;0,0359800890136552;0;0;0;0;0,196646053412782;0;0;0,0296977617925576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0167077615704024;0,0380208951466731;0;0;0;0;0;0;0;0;0;0;0;0,0497316562904598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
